date,steps,distance_km,calories_burned,active_minutes,exercise_minutes,workout_type,workout_intensity,workout_start_time,workout_end_time,workout_performance_rating,avg_heart_rate,max_heart_rate,floors_climbed,resting_heart_rate,hrv_ms,vo2_max
2025-10-11,5000,4,220,40,30,Run,Moderate,07:00,07:30,6,120,150,10,65,70,42
2025-10-12,3000,2.5,180,20,15,Walk,Light,18:00,18:15,5,110,135,5,70,60,40
2025-10-13,12000,9,500,80,60,Cycle,High,06:30,07:30,9,130,170,15,62,80,48
2025-10-14,4000,3.2,200,35,20,Run,Moderate,19:00,19:20,5,115,140,8,66,65,41
2025-10-15,7000,5.5,300,60,45,CrossFit,High,07:00,07:50,8,125,160,12,63,75,45
2025-10-16,2000,1.5,150,15,10,Walk,Light,20:00,20:10,4,108,130,4,71,55,39
2025-10-17,10000,8,450,70,50,Run,High,06:00,07:00,9,128,175,14,62,82,49
2025-10-18,6000,4.8,280,50,35,Cycle,Moderate,18:30,19:15,7,122,155,10,65,72,44
2025-10-19,3500,3,190,30,20,Walk,Light,19:00,19:20,5,112,138,6,66,63,41
2025-10-20,11000,8.5,480,75,55,Run,High,06:15,07:15,9,130,172,13,62,78,48
2025-10-21,4500,3.5,210,40,25,Run,Moderate,07:30,08:00,6,118,145,9,65,70,42
2025-10-22,2500,2,160,15,10,Walk,Light,20:00,20:15,4,108,132,5,71,58,39
2025-10-23,12500,9.5,520,85,65,Cycle,High,06:30,07:40,9,132,175,15,62,82,50
2025-10-24,5000,4,220,40,30,Run,Moderate,19:00,19:30,6,120,150,10,65,70,42
2025-10-25,7000,5.5,300,60,45,CrossFit,High,07:00,07:50,8,125,160,12,63,75,45
2025-10-26,1800,1.5,140,15,10,Walk,Light,20:30,20:40,4,108,130,4,72,55,39
2025-10-27,10500,8,460,70,50,Run,High,06:00,07:00,9,128,175,14,62,82,49
2025-10-28,6500,5,270,50,35,Cycle,Moderate,18:30,19:15,7,122,155,10,65,72,44
2025-10-29,4000,3,190,30,20,Walk,Light,19:00,19:20,5,112,138,6,66,63,41
2025-10-30,11500,9,490,75,55,Run,High,06:15,07:15,9,130,172,13,62,78,48
2025-10-31,4800,3.5,210,40,25,Run,Moderate,07:30,08:00,6,118,145,9,65,70,42
2025-11-01,2800,2,170,15,10,Walk,Light,20:00,20:15,4,108,132,5,71,58,39
2025-11-02,13000,10,540,85,65,Cycle,High,06:30,07:40,9,132,178,16,62,82,50
2025-11-03,5200,4.2,230,45,30,Run,Moderate,19:00,19:30,6,120,150,10,65,70,42
2025-11-04,7200,5.5,310,60,45,CrossFit,High,07:00,07:50,8,125,160,12,63,75,45
2025-11-05,1900,1.5,145,15,10,Walk,Light,20:30,20:40,4,108,130,4,72,55,39
2025-11-06,10700,8,465,70,50,Run,High,06:00,07:00,9,128,175,14,62,82,49
2025-11-07,6700,5,275,50,35,Cycle,Moderate,18:30,19:15,7,122,155,10,65,70,44
2025-11-08,4100,3,195,30,20,Walk,Light,19:00,19:20,5,112,138,6,66,65,41
2025-11-09,11600,9,495,75,55,Run,High,06:15,07:15,9,130,172,13,62,78,48
